Starting up http-server, serving out/

http-server version: 14.1.0

http-server settings: 
CORS: disabled
Cache: 3600 seconds
Connection Timeout: 120 seconds
Directory Listings: visible
AutoIndex: visible
Serve GZIP Files: false
Serve Brotli Files: false
Default File Extension: none

Available on:
  http://127.0.0.1:8080
  http://199.94.68.150:8080
Hit CTRL-C to stop the server

[2022-04-20T20:48:51.617Z]  "GET /" "pa11y/6.1.1"
(node:54515) [DEP0066] DeprecationWarning: OutgoingMessage.prototype._headers is deprecated
(Use `node --trace-deprecation ...` to show where the warning was created)
[2022-04-20T20:48:58.456Z]  "GET /_next/static/1MVTFwGhKHOyrI1GnC9ez/_middlewareManifest.js" "pa11y/6.1.1"
[2022-04-20T20:48:58.768Z]  "GET /_next/data/1MVTFwGhKHOyrI1GnC9ez/index.json" "pa11y/6.1.1"
[2022-04-20T20:48:58.772Z]  "GET /_next/static/chunks/415-d168ad94c0d22a7b.js" "pa11y/6.1.1"
[2022-04-20T20:48:58.772Z]  "GET /_next/data/1MVTFwGhKHOyrI1GnC9ez/about/big-picture.json" "pa11y/6.1.1"
[2022-04-20T20:48:58.774Z]  "GET /_next/static/chunks/pages/index-1d6983fd189185c1.js" "pa11y/6.1.1"
[2022-04-20T20:48:58.775Z]  "GET /_next/static/chunks/pages/about/big-picture-2aa54c749b18bd16.js" "pa11y/6.1.1"
[2022-04-20T20:48:58.775Z]  "GET /_next/static/chunks/pages/about/initiative-5f902a8b43803d11.js" "pa11y/6.1.1"
[2022-04-20T20:48:58.777Z]  "GET /_next/data/1MVTFwGhKHOyrI1GnC9ez/about/initiative.json" "pa11y/6.1.1"
[2022-04-20T20:48:58.781Z]  "GET /_next/data/1MVTFwGhKHOyrI1GnC9ez/about/community.json" "pa11y/6.1.1"
[2022-04-20T20:48:58.782Z]  "GET /_next/data/1MVTFwGhKHOyrI1GnC9ez/archive.json" "pa11y/6.1.1"
[2022-04-20T20:48:58.783Z]  "GET /_next/data/1MVTFwGhKHOyrI1GnC9ez/studios.json" "pa11y/6.1.1"
[2022-04-20T20:48:58.783Z]  "GET /_next/data/1MVTFwGhKHOyrI1GnC9ez/news.json" "pa11y/6.1.1"
[2022-04-20T20:48:58.784Z]  "GET /_next/data/1MVTFwGhKHOyrI1GnC9ez/events/spring-showcase.json" "pa11y/6.1.1"
[2022-04-20T20:48:58.784Z]  "GET /_next/data/1MVTFwGhKHOyrI1GnC9ez/events/tngv-launch-event.json" "pa11y/6.1.1"
[2022-04-20T20:48:58.790Z]  "GET /_next/data/1MVTFwGhKHOyrI1GnC9ez/events.json" "pa11y/6.1.1"
[2022-04-20T20:48:58.792Z]  "GET /_next/static/chunks/pages/about/community-f8d9dbd9cd33db72.js" "pa11y/6.1.1"
[2022-04-20T20:48:58.792Z]  "GET /_next/static/chunks/29107295-fbcfe2172188e46f.js" "pa11y/6.1.1"
[2022-04-20T20:48:58.792Z]  "GET /_next/static/chunks/327-fc908da545e41d8e.js" "pa11y/6.1.1"
[2022-04-20T20:48:58.793Z]  "GET /_next/static/chunks/pages/archive-06fa4e945ae688df.js" "pa11y/6.1.1"
[2022-04-20T20:48:58.793Z]  "GET /_next/static/chunks/pages/studios-06684fcf0ab922cc.js" "pa11y/6.1.1"
[2022-04-20T20:48:58.794Z]  "GET /_next/static/chunks/pages/news-614c8be20312abe7.js" "pa11y/6.1.1"
